videoId,missingTitleLanguages,missingDescriptionLanguages,studyQ1,studyQ2,studyQ3,studyQ4,studyQ5,studyQ6,studyQ7
9_0-TheSavior5545,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_0-Vigilant,0,0,0,0,0,0,N/A,N/A,N/A
3_0-40DWJ,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4_SelfDoubt3LovedWorthy,0,0,19,19,19,N/A,N/A,N/A,N/A
2_0-UseThisApp05,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_riv_06-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
1_jf6161-0-0,0,0,0,0,0,0,N/A,N/A,N/A
7_0-Easter0303,1,1,19,19,19,19,N/A,N/A,N/A
2_0-WhatisChristianity,0,0,19,19,19,N/A,N/A,N/A,N/A
7_Origins8Journey0303,1,1,19,19,19,N/A,N/A,N/A,N/A
2_0-UseThisApp02,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_mld-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
3_0-40DWJ_12-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
3_0-7WDJ-Grace_01-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
9_0-TheSavior5538,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_wjv_05-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_0-Dont-Hold-Your-Breath,0,0,0,0,0,N/A,N/A,N/A,N/A
2_FileZero12-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
MAG1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_jf6157-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_GOJ4917-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
11_Advent0104,1,1,19,19,19,N/A,N/A,N/A,N/A
1_wl-0-0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6_GOJohn2222,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11_Sermon0410,1,1,19,19,19,N/A,N/A,N/A,N/A
3_0-7WDJ-Grace_05-0-0,0,0,0,0,0,0,N/A,N/A,N/A
3_DWJPrayer0909-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
4_Win1Winning,0,0,19,19,19,N/A,N/A,N/A,N/A
7_0-EasterTrailer,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3_RFD0701-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
2_GOJ4912-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
6_GOLuke2602,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7_0-Easter0103,1,1,19,19,19,19,N/A,N/A,N/A
9_0-TheSavior5528,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7_0-Easter0203,1,1,19,19,19,19,N/A,N/A,N/A
1_jf6104-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
1_jf6117-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
1_jf6158-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_PIBirthmark,5,7,19,19,19,N/A,N/A,N/A,N/A
7_KnowGod0404,5,5,19,19,19,N/A,N/A,N/A,N/A
2_FileZero02-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
9_0-TheSavior5508,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7_Origins7Belong,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_Acts7352-0-0,0,0,0,0,0,0,N/A,N/A,N/A
6_GOJohn2202,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13_0-RPGospel0404,1,1,19,19,19,N/A,N/A,N/A,N/A
9_0-TheSavior5530,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_BoA_BibleStudy1201-0-0,19,19,19,19,N/A,N/A,N/A,N/A,N/A
6_GOMatt2515,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6_GOLuke2604,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9_0-TheSavior5535,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_ElCamWaySJEN3WalkingStick,1,1,19,19,19,N/A,N/A,N/A,N/A
2_BoA_BibleStudy1203-0-0,19,19,19,19,19,N/A,N/A,N/A,N/A
2_GOJ4919-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
2_GOJ4908-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
11_Shema0406,1,1,19,19,19,N/A,N/A,N/A,N/A
1_jf6112-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_CSF,0,0,0,0,0,0,0,0,N/A
7_0-nur06,0,0,19,19,19,N/A,N/A,N/A,N/A
12_Washi0405,1,1,19,19,19,N/A,N/A,N/A,N/A
7_Origins8Journey0203,1,1,19,19,19,N/A,N/A,N/A,N/A
TestSeriesBug,20,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_0-BibleTrusted,0,0,0,0,0,0,0,N/A,N/A
3_0-40DWJ_31-0-0,0,0,0,0,0,0,N/A,N/A,N/A
1_cl1301-0-0,0,0,0,0,0,0,0,N/A,N/A
7_OriginsTrailer,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6_GOJohn2216,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_wl604407-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
1_fj_5-0-0,0,0,0,0,0,0,N/A,N/A,N/A
9_0-TheSavior5524,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9_0-TheSavior5547,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7_Light0111,1,0,19,19,19,N/A,N/A,N/A,N/A
9_0-TheSavior5546,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9_0-TheSavior,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_jf6116-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_0-EasterExplained,2,2,2,2,2,2,N/A,N/A,N/A
2_0-OneGod,0,0,19,19,19,19,N/A,N/A,N/A
9_0-TheSavior5536,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_ElCamWaySJEN4StJames,1,1,19,19,19,N/A,N/A,N/A,N/A
1_wl604430-0-0,0,0,0,0,0,0,N/A,N/A,N/A
2_Acts7315-0-0,0,0,0,0,0,0,N/A,N/A,N/A
2_Acts7349-0-0,0,0,0,0,0,0,N/A,N/A,N/A
2_GOJ4949-0-0,0,0,0,0,0,0,0,0,N/A
6_GOLuke2608,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3_0-7WDJ-Grace_07-0-0,0,0,0,0,0,0,N/A,N/A,N/A
9_0-TheSavior5517,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9_0-TheSavior5502,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9_0-TheSavior5534,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_BoA_BibleStudy1202-0-0,19,19,19,19,19,N/A,N/A,N/A,N/A
7_Light0711,1,0,19,19,N/A,N/A,N/A,N/A,N/A
9_0-TheSavior5541,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_wjv_04-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
1_jf6119-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
ReadBible,6,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11_ReadBible1907,5,5,19,19,19,N/A,N/A,N/A,N/A
2_GOJ4910-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
3_RFD0703-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
2_0-Vinyl,0,0,0,0,0,0,0,0,0
9_0-TheSavior5511,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3_DWJPrayer0902-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
3_0-40DWJ_10-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
9_0-TheSavior5506,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_Acts7331-0-0,0,0,0,0,0,0,0,N/A,N/A
3_RFD-0-0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4_Injury5Preview1x1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3_0-7DWJ-WWJ_04-0-0,0,0,0,0,0,0,N/A,N/A,N/A
1_riv_02-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
7_0-nfs0202,0,0,19,19,19,N/A,N/A,N/A,N/A
1_riv_10-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_0-AltroMare,0,0,19,19,19,N/A,N/A,N/A,N/A
2_ThereisHopeSports,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_FileZero06-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
1_jf6123-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
1_jf6124-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
11_ReadBible1912,5,5,19,19,19,N/A,N/A,N/A,N/A
Rescue,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_jf6114-0-0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Christmas2018,19,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_dont_miss_door,5,5,19,19,19,N/A,N/A,N/A,N/A
3_IAm1205-0-0,0,0,0,0,0,0,N/A,N/A,N/A
6_GOMark1507,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10_Darkroom09Identity,1,1,19,19,19,19,19,N/A,N/A
2_GOJ4943-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
3_DWJPrayer0905-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_Acts7371-0-0,0,0,0,0,0,0,N/A,N/A,N/A
3_IAm1202-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_GOJ4920-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
12_Washi0305,1,1,19,19,19,N/A,N/A,N/A,N/A
11_Sermon,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9_0-TheSavior5539,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7_Origins1Master0103,1,1,19,19,19,N/A,N/A,N/A,N/A
2_0-SupremeChristmas,0,0,19,19,19,N/A,N/A,N/A,N/A
2_Acts7358-0-0,0,0,0,0,0,0,N/A,N/A,N/A
2_FileZero10-0-0,0,0,0,0,0,0,N/A,N/A,N/A
7_Origins4Connect0203,1,1,19,19,19,N/A,N/A,N/A,N/A
2_GOJ4942-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
7_Light0211,1,0,19,19,19,N/A,N/A,N/A,N/A
4_Injury4FufillChristAD1x1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_Acts7370-0-0,0,0,0,0,0,0,N/A,N/A,N/A
6_GOJohn2208,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11_ReadBible1903,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_0-HappinessPuzzle,0,0,19,19,19,N/A,N/A,N/A,N/A
2_0-Portions,0,0,0,0,0,0,N/A,N/A,N/A
6_GOLuke2609,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9_0-TheSavior5515,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9_0-TheSavior5507,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7_Origins1Master0303,1,1,19,19,19,N/A,N/A,N/A,N/A
7_0-nfs0203,0,0,19,19,19,N/A,N/A,N/A,N/A
13_0-RPGospelIntro,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_0-LeaderImpact_12,19,19,19,19,19,N/A,N/A,N/A,N/A
2_GOJ4937-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_BoA_BibleStudy1211-0-0,19,19,19,19,19,19,N/A,N/A,N/A
3_0-40DWJ_11-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_Acts7319-0-0,0,0,0,0,0,0,N/A,N/A,N/A
3_IAm1201-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
3_0-7DWJ-Grace-0-0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_wl604409-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_GOJ4930-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_0-4Laws,0,0,0,0,0,0,0,N/A,N/A
1_jf6138-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_rescue_shepherd_and_door,5,5,19,19,19,N/A,N/A,N/A,N/A
8_NBC06,0,0,19,19,19,19,N/A,N/A,N/A
BibleProject,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_FileZero14-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
6_GOLuke2622,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6_GOMark1501,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7_0-nur,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3_0-8DWJ-WIJ_07-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
6_GOMatt2501,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3_DWJPrayer-0-0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6_GOLukeEnglish6045,19,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3_0-40DWJ_35-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_FileZero-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
3_0-7DWJ-WWJ,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_0-Stunned,0,0,19,19,19,N/A,N/A,N/A,N/A
4_Injury4FufillChristAD9x16,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4_Injury5Preview,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3_0-40DWJ_19-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_0-TimeForChange,0,0,19,19,19,N/A,N/A,N/A,N/A
9_0-TheSavior5526,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7_0-nfs08,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_0-Venia,0,0,0,0,0,N/A,N/A,N/A,N/A
9_0-TheSavior5501,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9_0-TheSavior5532,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12_Washi0205,1,1,19,19,19,N/A,N/A,N/A,N/A
11_Advent0304,1,1,19,19,19,N/A,N/A,N/A,N/A
6_GOLuke2606,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_BrokenAndHealed,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3_0-7WDJ-Grace_06-0-0,0,0,0,0,0,0,N/A,N/A,N/A
2_Acts7340-0-0,0,0,0,0,0,0,N/A,N/A,N/A
2_GOJ4907-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
3_0-8DWJ-WIJ_01-0-0,0,0,0,0,0,0,N/A,N/A,N/A
9_0-TheProdigal,0,0,19,19,19,19,19,N/A,N/A
6_GOLuke2617,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6_GOLuke2623,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_ElCamWaySJENTrailer,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4_Loss1Loss,0,0,19,19,19,N/A,N/A,N/A,N/A
2_0-LeaderImpact_06,19,19,2,2,2,N/A,N/A,N/A,N/A
3_0-8DWJ-WIJ_02-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
4_Win4GoodNewsJesus,0,0,19,19,19,N/A,N/A,N/A,N/A
7_Origins4Connect0103,1,1,19,19,19,N/A,N/A,N/A,N/A
2_Acts7354-0-0,0,0,0,0,0,0,N/A,N/A,N/A
7_0-nfs02,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_0-ConsideringChristmas,0,0,19,19,19,N/A,N/A,N/A,N/A
7_Origins3New0203,1,1,19,19,19,N/A,N/A,N/A,N/A
3_0-40DWJ_06-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
1_jf6125-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
6_GOLuke2610,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10_Darkroom02Church,1,1,19,19,19,19,19,N/A,N/A
6_GOMark1515,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6_GOJohn2209,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6_GOJohn2215,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_FileZero05-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_FileZero13-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_Acts7373-0-0,0,0,0,0,0,0,0,N/A,N/A
2_0-InfiniteAbyss,0,0,0,0,0,0,N/A,N/A,N/A
6_GOMatt2514,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3_0-40DWJ_14-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
6_GOLuke2611,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_GOJ4945-0-0,0,0,0,0,0,0,0,N/A,N/A
2_Acts7357-0-0,0,0,0,0,0,0,N/A,N/A,N/A
2_BoA_BibleStudy1207-0-0,19,19,19,19,19,N/A,N/A,N/A,N/A
1_0-TrainV_2Find,2,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_wl604416-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_0-HarshVibe,0,0,19,19,19,N/A,N/A,N/A,N/A
6_GOMattEnglish5104,19,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11_ReadBible1902,5,5,19,19,19,N/A,N/A,N/A,N/A
WYDCollection,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_0-3TorchLightPurpose,0,0,19,19,19,N/A,N/A,N/A,N/A
3_0-6DWJ-MAP_02-0-0,0,0,0,0,0,0,N/A,N/A,N/A
7_Origins5Story,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_Acts7327-0-0,0,0,0,0,0,0,0,0,N/A
2_0-Happiness,0,0,0,0,0,0,N/A,N/A,N/A
3_0-6DWJ-MAP_05-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
1_wl604406-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
3_0-40DWJ_20-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_Broken4JimmyStory,1,1,19,19,19,N/A,N/A,N/A,N/A
2_GOJ4922-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_BoA_BibleStudy1210-0-0,19,19,19,19,N/A,N/A,N/A,N/A,N/A
3_0-40DWJ_23-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
3_0-40DWJ_25-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
9_CreationtoChrist0707,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_jf6130-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_harsh_vibe_explanation,5,5,19,19,19,N/A,N/A,N/A,N/A
9_CreationtoChrist0704,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6_GOJohn2218,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11_ReadBible1910,5,5,19,19,19,N/A,N/A,N/A,N/A
7_Origins3New0303,1,1,19,19,19,N/A,N/A,N/A,N/A
3_0-7DWJ-WWJ_05-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
3_0-40DWJ_09-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
6_GOMatt2523,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_FileZero01-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
3_IAm-0-0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_jf6160-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
3_0-40DWJ_17-0-0,0,0,0,0,0,0,N/A,N/A,N/A
2_GOJ4923-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
1_wl77-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
6_GOLuke2603,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_0-LeaderImpact_03,19,19,19,19,19,N/A,N/A,N/A,N/A
